Id,SleepDay,TotalMinutesAsleep,TotalTimeInBed,TimeToFallAsleep
3977333714,5/1/16,383,626,243
3977333714,5/2/16,230,384,154
3977333714,5/3/16,292,500,208
3977333714,5/4/16,213,336,123
3977333714,5/5/16,318,480,162
3977333714,5/6/16,323,512,189
3977333714,5/7/16,237,443,206
3977333714,5/8/16,259,456,197
3977333714,5/10/16,312,452,140
4020332650,4/12/16,501,541,40
4020332650,4/16/16,77,77,0
4020332650,5/3/16,322,332,10
4020332650,5/4/16,478,536,58
4020332650,5/5/16,226,248,22
4020332650,5/6/16,385,408,23
4020332650,5/8/16,364,402,38
4020332650,5/10/16,442,494,52
4319703577,4/14/16,535,557,22
4319703577,4/15/16,465,491,26
4319703577,4/16/16,506,522,16
4319703577,4/18/16,515,551,36
4319703577,4/19/16,461,498,37
4319703577,4/20/16,523,543,20
4319703577,4/21/16,59,65,6
4319703577,4/22/16,533,550,17
4319703577,4/23/16,692,722,30
4319703577,4/24/16,467,501,34
4319703577,4/25/16,488,506,18
4319703577,4/26/16,505,516,11
4319703577,4/27/16,286,307,21
4319703577,4/28/16,497,522,25
4319703577,4/29/16,523,546,23
4319703577,4/30/16,490,516,26
4319703577,5/1/16,484,500,16
4319703577,5/2/16,478,506,28
4319703577,5/3/16,474,512,38
4319703577,5/6/16,450,491,41
4319703577,5/7/16,507,530,23
4319703577,5/8/16,602,638,36
4319703577,5/9/16,535,565,30
4319703577,5/10/16,487,517,30
4319703577,5/11/16,529,558,29
4319703577,5/12/16,302,321,19
4388161847,4/15/16,499,526,27
4388161847,4/16/16,426,448,22
4388161847,4/17/16,619,641,22
4388161847,4/18/16,99,104,5
4388161847,4/19/16,329,338,9
4388161847,4/20/16,421,451,30
4388161847,4/21/16,442,458,16
4388161847,4/22/16,82,85,3
4388161847,4/23/16,478,501,23
4388161847,4/24/16,552,595,43
4388161847,4/26/16,319,346,27
4388161847,4/27/16,439,500,61
4388161847,4/28/16,428,458,30
4388161847,4/30/16,409,430,21
4388161847,5/1/16,547,597,50
4388161847,5/2/16,368,376,8
4388161847,5/4/16,390,414,24
4388161847,5/5/16,471,495,24
4388161847,5/7/16,472,496,24
4388161847,5/8/16,529,541,12
4388161847,5/9/16,62,65,3
4388161847,5/10/16,354,375,21
4388161847,5/11/16,469,494,25
4445114986,4/12/16,429,457,28
4445114986,4/13/16,370,406,36
4445114986,4/14/16,441,492,51
4445114986,4/15/16,337,379,42
4445114986,4/16/16,462,499,37
4445114986,4/17/16,98,107,9
4445114986,4/19/16,388,424,36
4445114986,4/20/16,439,462,23
4445114986,4/21/16,436,469,33
4445114986,4/22/16,388,417,29
4445114986,4/25/16,328,345,17
4445114986,4/26/16,353,391,38
4445114986,4/27/16,332,374,42
4445114986,4/28/16,419,442,23
4445114986,4/29/16,106,108,2
4445114986,4/30/16,322,353,31
4445114986,5/1/16,439,459,20
4445114986,5/2/16,502,542,40
4445114986,5/3/16,417,450,33
4445114986,5/4/16,337,363,26
4445114986,5/5/16,462,513,51
4445114986,5/6/16,374,402,28
4445114986,5/7/16,401,436,35
4445114986,5/8/16,361,391,30
4445114986,5/9/16,457,533,76
4445114986,5/10/16,405,426,21
4445114986,5/11/16,499,530,31
4445114986,5/12/16,483,501,18
4558609924,4/21/16,126,137,11
4558609924,4/26/16,103,121,18
4558609924,4/29/16,171,179,8
4558609924,5/1/16,115,129,14
4558609924,5/8/16,123,134,11
4702921684,4/12/16,425,439,14
4702921684,4/13/16,400,430,30
4702921684,4/14/16,384,415,31
4702921684,4/15/16,253,257,4
4702921684,4/16/16,382,406,24
4702921684,4/17/16,591,612,21
4702921684,4/18/16,293,312,19
4702921684,4/19/16,457,487,30
4702921684,4/20/16,454,468,14
4702921684,4/21/16,425,434,9
4702921684,4/23/16,465,475,10
4702921684,4/24/16,480,506,26
4702921684,4/25/16,370,380,10
4702921684,4/26/16,421,429,8
4702921684,4/27/16,432,449,17
4702921684,4/28/16,442,461,19
4702921684,4/29/16,433,447,14
4702921684,4/30/16,479,501,22
4702921684,5/3/16,327,373,46
4702921684,5/4/16,412,434,22
4702921684,5/5/16,414,428,14
4702921684,5/6/16,404,449,45
4702921684,5/7/16,520,543,23
4702921684,5/9/16,435,458,23
4702921684,5/10/16,416,431,15
4702921684,5/11/16,354,366,12
4702921684,5/12/16,404,442,38
5553957443,4/12/16,441,464,23
5553957443,4/13/16,455,488,33
5553957443,4/14/16,357,418,61
5553957443,4/15/16,377,409,32
5553957443,4/16/16,651,686,35
5553957443,4/17/16,350,402,52
5553957443,4/18/16,520,541,21
5553957443,4/19/16,357,410,53
5553957443,4/20/16,658,678,20
5553957443,4/21/16,399,431,32
5553957443,4/22/16,322,353,31
5553957443,4/23/16,631,725,94
5553957443,4/24/16,553,640,87
5553957443,4/25/16,433,468,35
5553957443,4/26/16,412,453,41
5553957443,4/27/16,347,391,44
5553957443,4/28/16,421,457,36
5553957443,4/29/16,450,495,45
5553957443,4/30/16,775,843,68
5553957443,5/1/16,622,686,64
5553957443,5/2/16,409,471,62
5553957443,5/3/16,380,429,49
5553957443,5/4/16,447,470,23
5553957443,5/5/16,419,464,45
5553957443,5/6/16,400,434,34
5553957443,5/7/16,442,470,28
5553957443,5/8/16,568,608,40
5553957443,5/9/16,453,494,41
5553957443,5/10/16,418,443,25
5553957443,5/11/16,463,486,23
5553957443,5/12/16,438,475,37
5577150313,4/12/16,419,438,19
5577150313,4/13/16,432,458,26
5577150313,4/14/16,477,497,20
5577150313,4/15/16,392,413,21
5577150313,4/16/16,406,445,39
5577150313,4/17/16,549,583,34
5577150313,4/18/16,527,553,26
5577150313,4/19/16,449,465,16
5577150313,4/20/16,447,480,33
5577150313,4/21/16,414,437,23
5577150313,4/22/16,338,366,28
5577150313,4/23/16,384,402,18
5577150313,4/24/16,543,615,72
5577150313,4/25/16,421,461,40
5577150313,4/26/16,354,377,23
5577150313,4/27/16,424,452,28
5577150313,4/28/16,361,372,11
5577150313,4/29/16,459,485,26
5577150313,4/30/16,412,433,21
5577150313,5/1/16,379,398,19
5577150313,5/2/16,525,553,28
5577150313,5/3/16,508,543,35
5577150313,5/4/16,603,634,31
5577150313,5/5/16,74,78,4
5577150313,5/10/16,504,562,58
5577150313,5/11/16,431,476,45
6117666160,4/16/16,380,398,18
6117666160,4/17/16,336,350,14
6117666160,4/18/16,493,510,17
6117666160,4/19/16,465,492,27
6117666160,4/20/16,474,502,28
6117666160,4/21/16,508,550,42
6117666160,4/22/16,480,546,66
6117666160,4/23/16,492,539,47
6117666160,4/24/16,353,367,14
6117666160,4/27/16,542,557,15
6117666160,4/28/16,393,416,23
6117666160,4/29/16,600,636,36
6117666160,5/1/16,507,575,68
6117666160,5/5/16,392,415,23
6117666160,5/6/16,658,698,40
6117666160,5/7/16,498,507,9
6117666160,5/8/16,555,603,48
6117666160,5/9/16,492,522,30
6775888955,4/13/16,235,260,25
6775888955,4/14/16,423,441,18
6775888955,4/15/16,391,406,15
6962181067,4/12/16,366,387,21
6962181067,4/13/16,630,679,49
6962181067,4/14/16,508,535,27
6962181067,4/15/16,370,386,16
6962181067,4/16/16,357,366,9
6962181067,4/17/16,427,446,19
6962181067,4/18/16,442,458,16
6962181067,4/19/16,476,535,59
6962181067,4/20/16,418,424,6
6962181067,4/21/16,451,457,6
6962181067,4/22/16,425,435,10
6962181067,4/23/16,528,546,18
6962181067,4/24/16,511,514,3
6962181067,4/25/16,400,415,15
6962181067,4/26/16,441,446,5
6962181067,4/27/16,455,467,12
6962181067,4/28/16,440,453,13
6962181067,4/29/16,433,447,14
6962181067,4/30/16,422,424,2
6962181067,5/1/16,411,426,15
6962181067,5/2/16,466,482,16
6962181067,5/3/16,394,418,24
6962181067,5/4/16,442,455,13
6962181067,5/5/16,467,491,24
6962181067,5/6/16,443,462,19
6962181067,5/7/16,298,334,36
6962181067,5/8/16,541,569,28
6962181067,5/9/16,489,497,8
6962181067,5/10/16,469,481,12
6962181067,5/11/16,452,480,28
6962181067,5/12/16,516,535,19
7007744171,4/16/16,79,82,3
7007744171,5/1/16,58,61,3
7086361926,4/12/16,514,525,11
7086361926,4/13/16,451,465,14
7086361926,4/14/16,472,476,4
7086361926,4/15/16,377,386,9
7086361926,4/19/16,472,483,11
7086361926,4/20/16,492,502,10
7086361926,4/21/16,390,411,21
7086361926,4/22/16,428,448,20
7086361926,4/24/16,681,704,23
7086361926,4/25/16,446,447,1
7086361926,4/26/16,485,500,15
7086361926,4/27/16,469,479,10
7086361926,4/28/16,354,367,13
7086361926,4/30/16,485,489,4
7086361926,5/1/16,388,407,19
7086361926,5/2/16,440,459,19
7086361926,5/3/16,456,461,5
7086361926,5/4/16,420,436,16
7086361926,5/6/16,322,333,11
7086361926,5/7/16,530,548,18
7086361926,5/8/16,481,510,29
7086361926,5/9/16,427,438,11
7086361926,5/11/16,451,463,12
7086361926,5/12/16,444,457,13
8053475328,4/20/16,486,493,7
8053475328,4/23/16,331,337,6
8053475328,5/7/16,74,75,1
8378563200,4/12/16,338,356,18
8378563200,4/13/16,447,487,40
8378563200,4/14/16,424,455,31
8378563200,4/15/16,513,533,20
8378563200,4/16/16,611,689,78
8378563200,4/17/16,525,591,66
8378563200,4/18/16,398,451,53
8378563200,4/19/16,387,421,34
8378563200,4/20/16,381,409,28
8378563200,4/21/16,396,417,21
8378563200,4/22/16,441,469,28
8378563200,4/23/16,565,591,26
8378563200,4/24/16,458,492,34
8378563200,4/25/16,388,402,14
8378563200,4/26/16,550,584,34
8378563200,4/27/16,531,600,69
8378563200,4/28/16,506,556,50
8378563200,4/29/16,527,562,35
8378563200,4/30/16,468,555,87
8378563200,5/1/16,475,539,64
8378563200,5/2/16,351,385,34
8378563200,5/3/16,405,429,24
8378563200,5/4/16,441,477,36
8378563200,5/5/16,381,417,36
8378563200,5/6/16,323,355,32
8378563200,5/7/16,459,513,54
8378563200,5/8/16,545,606,61
8378563200,5/9/16,359,399,40
8378563200,5/10/16,342,391,49
8378563200,5/11/16,368,387,19
8378563200,5/12/16,496,546,50
8792009665,4/12/16,458,493,35
8792009665,4/13/16,531,552,21
8792009665,4/14/16,486,503,17
8792009665,4/15/16,363,377,14
8792009665,4/20/16,528,547,19
8792009665,4/22/16,391,407,16
8792009665,4/23/16,339,360,21
8792009665,4/27/16,423,428,5
8792009665,4/28/16,402,416,14
8792009665,4/29/16,398,406,8
8792009665,4/30/16,343,360,17
8792009665,5/1/16,503,527,24
8792009665,5/2/16,415,423,8
8792009665,5/3/16,516,545,29
8792009665,5/4/16,439,463,24
,,,,
,,,,
,,,,
